"b 线本周实验 vs 基线 (test 16-08-46, 2543帧, 官方BMSD协议, ssi_disparity)",,,,,
"全部为热像输入 / thr视角GT / 同一对齐, 可直接互相比较",,,,,
,,,,,
模型,推理时的prompt,test AbsRel,test RMSE,test δ1,备注
b 线 (基线),空,0.0884,3.956,0.9071,"20-epoch, best e5"
b + caption 训练,空,0.0869,,,"20-epoch, best e3; RMSE/δ1未抄录"
b + caption 训练,真 caption,0.0882,,,"20-epoch, best e3; RMSE/δ1未抄录"
,,,,,
── 本周新训练 ──,,,,,
b + 天空损失,空,0.0897,3.966,0.9058,"5-epoch, e5; 无caption"
b + caption + caption损失,空,0.0907,4.061,0.9014,"5-epoch, best e3; 无天空损失"
b + caption + caption损失,真 caption,0.0926,4.152,0.8987,"5-epoch, best e3; 无天空损失"
b + caption + caption损失,打乱 caption,0.094,4.197,0.8971,"5-epoch, best e3; 无天空损失"
